,place_name,reviewer_name,reviewer_rating
126,Queens Head Jakarta,Kenny Kurniawan,5
127,Queens Head Jakarta,Alessia Mathewson,5
128,Queens Head Jakarta,Dindin Nurhayadin,5
129,Queens Head Jakarta,Annisa Nabila,4
130,Sailendra Restaurant,Andina Ayunani,5
131,Sailendra Restaurant,Te Ir,5
132,Sailendra Restaurant,florentina raines,5
133,Sailendra Restaurant,Eka Deny,5
134,Sailendra Restaurant,Kevin,5
135,View Steak Bar,rafa martinez,5
136,View Steak Bar,Handoko Limaho,4
137,View Steak Bar,Ivan K,5
138,View Steak Bar,Sara Febriany,5
139,View Steak Bar,Vicky Hermawan,5
140,SEIA Restaurant,Aris Limiarto,4
141,SEIA Restaurant,audrey gunawan,5
142,SEIA Restaurant,Virna AR,5
143,SEIA Restaurant,Stella Leeansyah,5
144,SEIA Restaurant,benny tjhin,5
145,Asuka Japanese Dining,Lee Lan Kam,4
146,Asuka Japanese Dining,J,3
147,Asuka Japanese Dining,David Chastain,5
148,Asuka Japanese Dining,WaiTuck CHONG,5
149,Asuka Japanese Dining,Gleb Livshitz,5
150,Tom’s by Tom Aikens,Bernardine Tan,4
151,Tom’s by Tom Aikens,J Chung,5
152,Tom’s by Tom Aikens,RYAN LIN,5
153,Tom’s by Tom Aikens,Martin Hong,5
154,Tom’s by Tom Aikens,Dio A.P,4
155,Smarapura,Emillia_ NF,4
156,Smarapura,Yulius Rizal,5
157,Smarapura,Artono Hadisanto,5
158,Smarapura,Christopher Sutandar,5
159,Smarapura,Baiq Nurul Srifathona,4
160,Sudestada,Hannah Glathar,5
161,Sudestada,Naomi R,5
162,Sudestada,Linna,5
163,Sudestada,Ronnie Wongkar,5
164,Sudestada,Sonny Ng,4
165,Grand Café,Arline Wijaya,5
166,Grand Café,Sanjeev Bhalla,5
167,Grand Café,Radja Sitanggang,5
168,Grand Café,Harso Forever,4
169,Grand Café,Ronald Ishak,1
170,Cikang Coffee & Resto,HDR HDR,1
171,Cikang Coffee & Resto,Dyah,5
172,Cikang Coffee & Resto,Dea A,1
173,Cikang Coffee & Resto,Vi I,4
174,Cikang Coffee & Resto,Martin Hong,4
175,Tugu Kunstkring Paleis,Monique Claassens-Bouckaert,5
176,Tugu Kunstkring Paleis,Suyono Kurniawan,5
177,Tugu Kunstkring Paleis,Nana S,5
178,Tugu Kunstkring Paleis,Kenny Kurniawan,4
179,Tugu Kunstkring Paleis,Isabelle Ji,5
180,Wolfgang's Steakhouse Jakarta,Rahadiyan Narendra,5
181,Wolfgang's Steakhouse Jakarta,Henry Gunawan,5
182,Wolfgang's Steakhouse Jakarta,Munchie Diary,5
183,Wolfgang's Steakhouse Jakarta,Gregory Joey,5
184,Wolfgang's Steakhouse Jakarta,Erik Firman,5
185,GIOI Menteng,Astri A,5
186,GIOI Menteng,Nanda (Nseptember),4
187,GIOI Menteng,Sherly Dewi,5
188,GIOI Menteng,Annisha Nurilla,5
189,GIOI Menteng,Aris Limiarto,4
190,Namaaz Dining,Ivan Aditya,4
191,Namaaz Dining,Yuwanda Kasikin,3
192,Namaaz Dining,Graciela Christina,5
193,Namaaz Dining,Bartoq R,5
194,Namaaz Dining,lisna nababan,4
195,Iga-Ku Restaurant,XY Fuwa,4
196,Iga-Ku Restaurant,Cindyas Rachmat,4
197,Iga-Ku Restaurant,T Novalia,4
198,Iga-Ku Restaurant,ika subekti,5
199,Iga-Ku Restaurant,Eldo Kredainou Alwi,5
200,Turkuaz,Sapiderman Lumpat,4
201,Turkuaz,FWPN,4
202,Turkuaz,Hadi Santoso,5
203,Turkuaz,Allinhere Y,5
204,Turkuaz,Arief Ramon,4
205,Loewy,Manish Shrivastava,5
206,Loewy,Puspa Cahyono,4
207,Loewy,Erniyati Fun,2
208,Loewy,Juliana Kwok,5
209,Loewy,Roland Trimmel,5
210,Three Buns Jakarta,Wisnu Bramantyo,5
211,Three Buns Jakarta,Pete Silva,3
212,Three Buns Jakarta,Stefano,5
213,Three Buns Jakarta,Hannah Glathar,5
214,Three Buns Jakarta,Diandra Valini,5
215,Kembang Goela Restaurant,F (Fer),5
216,Kembang Goela Restaurant,Camille,5
217,Kembang Goela Restaurant,Novita Frederika,3
218,Kembang Goela Restaurant,Norman C,2
219,Kembang Goela Restaurant,Rahmi,4
220,Oakroom Restaurant & Bar,STEVANIE,4
221,Oakroom Restaurant & Bar,One Will,5
222,Oakroom Restaurant & Bar,Firman Firdani,5
223,Oakroom Restaurant & Bar,Lewi Verdatama,5
224,Oakroom Restaurant & Bar,Aditya Halim,3
225,il Mare,C Sir,5
226,il Mare,davy Sukamta,5
227,il Mare,Andre Nath,2
228,il Mare,Ahda Arifa Ismail,5
229,il Mare,Rhicke Jennings,5
230,Paulaner Bräuhaus,Sukamdhani Kencana,5
231,Paulaner Bräuhaus,Jo Anne Pilapil,4
232,Paulaner Bräuhaus,Marbert Lie,4
233,Paulaner Bräuhaus,tobi d.,3
234,Paulaner Bräuhaus,Nanda (Nseptember),3
235,Pearl Chinese Restaurant,Donny S,4
236,Pearl Chinese Restaurant,D3knee,1
237,Pearl Chinese Restaurant,มานี่มาตรา มานั่น,5
238,Pearl Chinese Restaurant,Eiline Federica,5
239,Pearl Chinese Restaurant,regina setiawan,5
240,C’s Steak and Seafood,Fernando Sarael,4
241,C’s Steak and Seafood,v3r,5
242,C’s Steak and Seafood,Laurent Limare,5
243,C’s Steak and Seafood,Laily Lanisy,5
244,C’s Steak and Seafood,Arief Ramon,4
245,Benihana The Japanese Steakhouse,Freddy Samad,5
246,Benihana The Japanese Steakhouse,Erly Tunriallu,5
247,Benihana The Japanese Steakhouse,Kezya Gunawan Wijaya,5
248,Benihana The Japanese Steakhouse,tobi d.,5
249,Benihana The Japanese Steakhouse,Joanne Teo.,5
250,Jakarta Restaurant & The Courtyard,Putra P,5
251,Jakarta Restaurant & The Courtyard,Fitri Andriyani,5
252,Jakarta Restaurant & The Courtyard,Evan Tan,4
253,Jakarta Restaurant & The Courtyard,Bernie Soebekti,5
254,Jakarta Restaurant & The Courtyard,rafa martinez,5
255,La Brasserie Restaurant,Robin K,5
256,La Brasserie Restaurant,Soo Hin Yeoh,5
257,La Brasserie Restaurant,Cindy Cindy,5
258,La Brasserie Restaurant,Biju Varghese,5
259,La Brasserie Restaurant,Leony Maranatha (Oh Eun Sun),5
260,Animale Restaurant,Sarah Mulyo,5
261,Animale Restaurant,Liz G,4
262,Animale Restaurant,lidya evangelista,5
263,Animale Restaurant,Sarah R.,4
264,Animale Restaurant,Ronderic,5
265,Harum Manis Restaurant,Lily Gorjan,4
266,Harum Manis Restaurant,Sandra Monica,4
267,Harum Manis Restaurant,Lyndon Burke,5
268,Harum Manis Restaurant,Anita Schneider,5
269,Harum Manis Restaurant,yunan bayu pratama,5
270,Signatures Restaurant,Fajar Fajar,3
271,Signatures Restaurant,Aryanto,5
272,Signatures Restaurant,Yan Putra,4
273,Signatures Restaurant,Nana Setiawan,4
274,Signatures Restaurant,Gary Lim,4
275,Sana Sini Restaurant,Frederique De Sousa,5
276,Sana Sini Restaurant,Budi Soetjipto,3
277,Sana Sini Restaurant,Lydia Zein,5
278,Sana Sini Restaurant,Alex A. ART,4
279,Sana Sini Restaurant,R A,5
280,HA-KA Resto,Richard Yahya,5
281,HA-KA Resto,seli ariani,5
282,HA-KA Resto,Tri Ana,5
283,HA-KA Resto,Ramil Valitov,5
284,HA-KA Resto,Amar Khosyian,5
285,Catappa Restaurant,Tedy Wijaya,5
286,Catappa Restaurant,ye row,2
287,Catappa Restaurant,LIN WIE,3
288,Catappa Restaurant,Nanang Setiawan,5
289,Catappa Restaurant,Valen Susanto,5
290,PA.SO.LA Restaurant,Alisa Levchenko-Plekhanova,3
