,formatted_address,name,place_id,rating,user_ratings_total,Types
219,"Slamet Riyadi St No.111, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Kusuma Sari Restaurant & Ice Cream,ChIJjY9OyGMWei4RIPjPIK6har0,4.5,4326,restaurant
220,"Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Cafe Tiga Ceret,ChIJBytXZygUei4RBOZ4K3dAUm4,4.3,6439,restaurant
222,"Solo Square, Jl. Slamet Riyadi No.1, Pajang, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57146, Indonesia",D'Cost Restaurant,ChIJe5hyPzcUei4RYmB7wTPPNpY,4.2,956,restaurant
223,"Slamet Riyadi St No.342, Penumping, Laweyan, Surakarta City, Central Java 57141, Indonesia",Rumah Makan Adem Ayem,ChIJd76ezIEWei4RVFBfHlXmnKg,4.5,10788,restaurant
224,"Jl. Gajahmada No.87, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132, Indonesia",Canton Restaurant,ChIJqXh5h48Wei4RHkqTGuqOogk,4.4,475,restaurant
229,"Kp. Baru, Ps. Kliwon, Jl. Imam Bonjol No.49-51, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Ramayana Indonesian Restaurant,ChIJTTbeD2IWei4RF14x5u0hRR0,4.2,915,restaurant
230,"Jl. Teuku Umar No.6, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Tirai Bamboe Restaurant,ChIJ8UNlsocWei4R_IK0dh42l9s,4.4,1982,restaurant
231,"Slamet Riyadi St No.271, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",RODA DIMSUM & CHINESE FOOD,ChIJs2BvWYcWei4RmezWotRf2WI,4.2,145,restaurant
233,"Jl. Abdul Muis No.14, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57139, Indonesia",RM Blengerr,ChIJZ7hCQWIWei4RKeinTHfEHsI,4.4,1498,restaurant
234,"Jl. Arifin No.59, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia",Nini Thowong Restaurant,ChIJNf5-sYwWei4RhPyRXjeuiV4,4.3,4424,restaurant
235,"Jl. Abdul Muis No.21, Kepatihan Kulon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",XinXin Restaurant,ChIJ42QHQosWei4RJunlMw117sU,4.5,805,restaurant
236,"Jl. Kapten Mulyadi No.29, Sudiroprajan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57121, Indonesia",Fai Kie Chinese Restaurant,ChIJGQQnkV8Wei4R9sCPiqipBbQ,4.4,856,restaurant
237,"Jl. Sutan Syahrir No.126, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57129, Indonesia",Kafe Star Restaurant,ChIJQxe4vIsWei4RP-ycESA8zz0,4.4,365,restaurant
240,"Jl. Antariksa II, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Arjes Kitchen,ChIJ_dlAsgQXei4RR5vIE4TULdY,4.4,4417,restaurant
241,"Jl. Ronggowarsito No.55a, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia",Palm Ethnic Resto,ChIJX_aOu7cXei4RAAWeLTbcWsE,4.2,650,restaurant
