,place_name,reviewer_name,reviewer_rating
115,Nasi Liwet Yu Sani Gemblegan,Jee JY,4
116,Nasi Liwet Yu Sani Gemblegan,Hendro HP (HP),5
117,Nasi Liwet Yu Sani Gemblegan,Ben you,4
118,Nasi Liwet Yu Sani Gemblegan,Surya Adam,4
119,Nasi Liwet Yu Sani Gemblegan,Adham Yudhistira,5
120,Saffron Resto & Meatshop,HS MXH,5
121,Saffron Resto & Meatshop,Adelisa Devita,5
122,Saffron Resto & Meatshop,m,5
123,Saffron Resto & Meatshop,Dean Handiyansyah,5
124,Saffron Resto & Meatshop,Rina Tri Lestari,5
125,Alamama Resto,Ajeng K Ratri,4
126,Alamama Resto,amrullah iam,5
127,Alamama Resto,Janitra Haryanto,5
128,Alamama Resto,John Does,3
129,Alamama Resto,Haotian Tong,5
130,Kusuma Sari Restaurant & Ice Cream,Muchlas Abdi Pratama,3
131,Kusuma Sari Restaurant & Ice Cream,Agatha Andini,5
132,Kusuma Sari Restaurant & Ice Cream,Warsono Hadisubroto,4
133,Kusuma Sari Restaurant & Ice Cream,Nina,4
134,Kusuma Sari Restaurant & Ice Cream,h yusuf,5
135,Arjes Kitchen,Ahmad Rizqi Ramadhan,4
136,Arjes Kitchen,Muhammad Fakhri,4
137,Arjes Kitchen,Indyana Meitayoga,5
138,Arjes Kitchen,Irma Rahmawati,4
139,Arjes Kitchen,Muhammad Yusuf Choirul,5
140,Omah Sinten Heritage Hotel & Resto,Richard Wu,4
141,Omah Sinten Heritage Hotel & Resto,John Abbott,3
142,Omah Sinten Heritage Hotel & Resto,Yesa Kristina,4
143,Omah Sinten Heritage Hotel & Resto,Toomas Vendelin,5
144,Omah Sinten Heritage Hotel & Resto,Abbott Hsu,5
145,Che-eS Resto,Bagus Widyanto,3
146,Che-eS Resto,Ari Eko Prasethio,4
147,Che-eS Resto,Desi Arinda,5
148,Che-eS Resto,Ellfa D Y,4
149,Che-eS Resto,Idris Panji,5
150,Goela Klapa Authentic Indonesian Cuisine,Inez Permata Hati,5
151,Goela Klapa Authentic Indonesian Cuisine,Antonio Bepe,4
152,Goela Klapa Authentic Indonesian Cuisine,Davin Thomas,5
153,Goela Klapa Authentic Indonesian Cuisine,Bunda FiFa Diary,5
154,Goela Klapa Authentic Indonesian Cuisine,Agil Saputro,5
155,The Soga Eatery,Inaa Dasele,5
156,The Soga Eatery,Suhaili Abdul Rahman,4
157,The Soga Eatery,fajar zona,5
158,The Soga Eatery,febrian ayu,3
159,The Soga Eatery,Ade Rosadin Noor,5
160,Fai Kie Chinese Restaurant,San Ristha,4
161,Fai Kie Chinese Restaurant,Lost Princess,5
162,Fai Kie Chinese Restaurant,Wimbo Satwiko,4
163,Fai Kie Chinese Restaurant,Andre,5
164,Fai Kie Chinese Restaurant,Indra Pratama,5
165,Timlo Solo Restaurant,Sofi Reksoyudo,4
166,Timlo Solo Restaurant,Diva Clara Azelia,5
167,Timlo Solo Restaurant,anita anggoro,3
168,Timlo Solo Restaurant,RMJ,4
169,Timlo Solo Restaurant,Toto Hermanto Setiawan,5
170,Nini Thowong Restaurant,Patrick Prabowo,4
171,Nini Thowong Restaurant,Missy n Ceria,4
172,Nini Thowong Restaurant,Andre Bastary,4
173,Nini Thowong Restaurant,Raden Oktova Gamma Star,4
174,Nini Thowong Restaurant,Johan (Hyushi),3
175,Madam Xiang,Mariana Wijayanti,5
176,Madam Xiang,Rex Sumner,5
177,Madam Xiang,Gerhard Aditama,4
178,Madam Xiang,Andri Rahardja,5
179,Madam Xiang,Stevan Ady Susanto,3
180,Solo's Bistro,Dessy Puspitasari,5
181,Solo's Bistro,Imaduddin Faqih,5
182,Solo's Bistro,Joseph Ferdinand,5
183,Solo's Bistro,Hans Photography,5
184,Solo's Bistro,T R,3
185,Pecel Solo,Fino Indrasaputra,4
186,Pecel Solo,Just Berry,5
187,Pecel Solo,Jamal,5
188,Pecel Solo,Nava K,4
189,Pecel Solo,Setiawaty Lukman,5
190,Kadipolo Meatball,Ayi,4
191,Kadipolo Meatball,Hasimy Md,4
192,Kadipolo Meatball,Adi Setiya,4
193,Kadipolo Meatball,Alvin Lee,5
194,Kadipolo Meatball,Artha Dewi,4
195,Canting Londo Kitchen,Deby Firmansyah,4
